"PVWatts Hourly PV Performance Data"
"Requested Location","los angeles, CA"
"Location","Lat, Lng: 34.05, -118.26"
"Latitude (DD)","34.05"
"Longitude (DD)","-118.26"
"Elevation (m)","97.559997558594"
"DC System Size (kW)","10"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (kW/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"3","19","13","142","379","22","4","0.13","516.444","30.913","4236.824","4047.061"
"3","19","14","857","106","21","4.1","0.13","782.511","34.395","6490.098","6220.492"
"3","19","15","782","94","20","3.6","0.13","569.61","30.525","4842.581","4631.353"
"3","19","16","468","99","19","2.8","0.13","279.92","24.841","2322.087","2200.171"
"3","19","17","279","37","17","2.3","0.13","75.096","18.579","468.584","412.345"
"3","19","18","0","0","15","1.9","0.13","0","15","0","0"
"3","19","19","0","0","14","1.5","0.13","0","14","0","0"
"3","19","20","0","0","13","1.4","0.13","0","13","0","0"
"3","19","21","0","0","12","1.4","0.13","0","12","0","0"
"3","19","22","0","0","11","1.5","0.13","0","11","0","0"
"3","19","23","0","0","10","1.6","0.13","0","10","0","0"
"3","20","0","0","0","9","1.7","0.13","0","9","0","0"
"3","20","1","0","0","9","1.8","0.13","0","9","0","0"
"3","20","2","0","0","9","2.1","0.13","0","9","0","0"
"3","20","3","0","0","8","2.7","0.13","0","8","0","0"
"3","20","4","0","0","8","3.2","0.13","0","8","0","0"
"3","20","5","0","0","8","3.8","0.13","0","8","0","0"
"3","20","6","387","35","10","5.3","0.13","86.871","11.139","534.348","475.778"
"3","20","7","222","123","12","7.6","0.13","207.632","14.364","1791.878","1688.749"
"3","20","8","873","87","14","8.7","0.13","614.652","20.383","5435.816","5203.567"
"3","20","9","952","95","15","8.3","0.13","839.075","23.999","7240.739","6944.535"
"3","20","10","746","191","16","7.9","0.13","885.857","25.824","7512.378","7206.549"
"3","20","11","1000","106","16","7.3","0.13","1080.941","28.69","9035.12","8333.333"
"3","20","12","1000","107","17","6.7","0.13","1082.367","30.498","8984.599","8333.333"
"3","20","13","962","114","17","6.5","0.13","990.306","29.621","8287.651","7954.351"
"3","20","14","925","104","17","6.1","0.13","829.338","28.057","7046.275","6756.962"
"3","20","15","857","90","16","5.3","0.13","610.315","24.952","5304.204","5076.619"
"3","20","16","716","71","15","3.7","0.13","346.794","21.247","2918.465","2775.417"
"3","20","17","373","37","12","2.2","0.13","88.131","13.867","547.835","488.787"
